"";"codmun";"nome";"uf";"string";"lat";"lon"
"311";1600808;"Vitória do Jari";"Amapá";"Vitória do Jari, Amapá, Brasil";-0,9379999;-52,4240007
"312";1700251;"Abreulândia";"Tocantins";"Abreulândia, Tocantins, Brasil";-9,6221525;-49,1558342
"313";1700301;"Aguiarnópolis";"Tocantins";"Aguiarnópolis, Tocantins, Brasil";-6,5600451;-47,4721188
"314";1700350;"Aliança do Tocantins";"Tocantins";"Aliança do Tocantins, Tocantins, Brasil";-11,3055926;-48,9409095
"315";1700400;"Almas";"Tocantins";"Almas, Tocantins, Brasil";-11,5681308;-47,1702802
"316";1700707;"Alvorada";"Tocantins";"Alvorada, Tocantins, Brasil";-12,4784649;-49,1249259
"317";1701002;"Ananás";"Tocantins";"Ananás, Tocantins, Brasil";-6,3663052;-48,0802379
"318";1701051;"Angico";"Tocantins";"Angico, Tocantins, Brasil";-6,3893732;-47,8656721
"319";1701101;"Aparecida do Rio Negro";"Tocantins";"Aparecida do Rio Negro, Tocantins, Brasil";-9,951349;-47,9773785
"320";1701309;"Aragominas";"Tocantins";"Aragominas, Tocantins, Brasil";-7,1653403;-48,5270738
"321";1701903;"Araguacema";"Tocantins";"Araguacema, Tocantins, Brasil";-8,806739;-49,5560968
"322";1702000;"Araguaçu";"Tocantins";"Araguaçu, Tocantins, Brasil";-12,9289339;-49,8231339
"323";1702109;"Araguaína";"Tocantins";"Araguaína, Tocantins, Brasil";-7,1932409;-48,2018596
"324";1702158;"Araguanã";"Tocantins";"Araguanã, Tocantins, Brasil";-6,5799106;-48,6428481
"325";1702208;"Araguatins";"Tocantins";"Araguatins, Tocantins, Brasil";-5,6522924;-48,1158972
"326";1702307;"Arapoema";"Tocantins";"Arapoema, Tocantins, Brasil";-7,6575;-49,0641483
"327";1702406;"Arraias";"Tocantins";"Arraias, Tocantins, Brasil";-12,9287787;-46,943723
"328";1702554;"Augustinópolis";"Tocantins";"Augustinópolis, Tocantins, Brasil";-5,4662266;-47,8897518
"329";1702703;"Aurora do Tocantins";"Tocantins";"Aurora do Tocantins, Tocantins, Brasil";-12,7095083;-46,4032385
"330";1702901;"Axixá do Tocantins";"Tocantins";"Axixá do Tocantins, Tocantins, Brasil";-5,6127469;-47,7700699
"331";1703008;"Babaçulândia";"Tocantins";"Babaçulândia, Tocantins, Brasil";-7,2034354;-47,7616129
"332";1703057;"Bandeirantes do Tocantins";"Tocantins";"Bandeirantes do Tocantins, Tocantins, Brasil";-7,7644042;-48,5798185
"333";1703073;"Barra do Ouro";"Tocantins";"Barra do Ouro, Tocantins, Brasil";-7,6959289;-47,6776089
"334";1703107;"Barrolândia";"Tocantins";"Barrolândia, Tocantins, Brasil";-9,8372459;-48,7264345
"335";1703206;"Bernardo Sayão";"Tocantins";"Bernardo Sayão, Tocantins, Brasil";-7,8748119;-48,8892729
"336";1703305;"Bom Jesus do Tocantins";"Tocantins";"Bom Jesus do Tocantins, Tocantins, Brasil";-5,02850085;-48,7712257165301
"337";1703602;"Brasilândia do Tocantins";"Tocantins";"Brasilândia do Tocantins, Tocantins, Brasil";-8,3891819;-48,4822129
"338";1703701;"Brejinho de Nazaré";"Tocantins";"Brejinho de Nazaré, Tocantins, Brasil";-11,0205882;-48,5722905
"339";1703800;"Buriti do Tocantins";"Tocantins";"Buriti do Tocantins, Tocantins, Brasil";-5,3187438;-48,2256608
"340";1703826;"Cachoeirinha";"Tocantins";"Cachoeirinha, Tocantins, Brasil";-12,9667149;-46,3500589
"341";1703842;"Campos Lindos";"Tocantins";"Campos Lindos, Tocantins, Brasil";-7,9750212;-46,8020903
"342";1703867;"Cariri do Tocantins";"Tocantins";"Cariri do Tocantins, Tocantins, Brasil";-11,8882726;-49,1604215
"343";1703883;"Carmolândia";"Tocantins";"Carmolândia, Tocantins, Brasil";-7,0338039;-48,3951294
"344";1703891;"Carrasco Bonito";"Tocantins";"Carrasco Bonito, Tocantins, Brasil";-5,3205733;-48,0376666
"345";1703909;"Caseara";"Tocantins";"Caseara, Tocantins, Brasil";-9,2731589;-49,9576836
"346";1704105;"Centenário";"Tocantins";"Centenário, Tocantins, Brasil";-8,9586574;-47,3346597
"347";1705102;"Chapada da Natividade";"Tocantins";"Chapada da Natividade, Tocantins, Brasil";-11,6119238;-47,7538516
"348";1704600;"Chapada de Areia";"Tocantins";"Chapada de Areia, Tocantins, Brasil";-10,1409455;-49,1783676
"349";1705508;"Colinas do Tocantins";"Tocantins";"Colinas do Tocantins, Tocantins, Brasil";-8,0612687;-48,4716767
"350";1716703;"Colméia";"Tocantins";"Colméia, Tocantins, Brasil";-8,7322123;-48,7529429
"351";1705557;"Combinado";"Tocantins";"Combinado, Tocantins, Brasil";-12,813658;-46,546104
"352";1705607;"Conceição do Tocantins";"Tocantins";"Conceição do Tocantins, Tocantins, Brasil";-12,2208739;-47,2951029
"353";1706001;"Couto Magalhães";"Tocantins";"Couto Magalhães, Tocantins, Brasil";-8,2841063;-49,2472616
"354";1706100;"Cristalândia";"Tocantins";"Cristalândia, Tocantins, Brasil";-10,5984799;-49,1942019
"355";1706258;"Crixás do Tocantins";"Tocantins";"Crixás do Tocantins, Tocantins, Brasil";-11,1039403;-48,9188269
"356";1706506;"Darcinópolis";"Tocantins";"Darcinópolis, Tocantins, Brasil";-6,7085963;-47,7524282
"357";1707009;"Dianópolis";"Tocantins";"Dianópolis, Tocantins, Brasil";-11,6240079;-46,8197869
"358";1707108;"Divinópolis do Tocantins";"Tocantins";"Divinópolis do Tocantins, Tocantins, Brasil";-9,8015721;-49,214353
"359";1707207;"Dois Irmãos do Tocantins";"Tocantins";"Dois Irmãos do Tocantins, Tocantins, Brasil";-9,2539896;-49,0665557
"360";1707306;"Dueré";"Tocantins";"Dueré, Tocantins, Brasil";-11,3416309;-49,2715659
"361";1707405;"Esperantina";"Tocantins";"Esperantina, Tocantins, Brasil";-5,3658231;-48,536818
"362";1707553;"Fátima";"Tocantins";"Fátima, Tocantins, Brasil";-10,7575655;-48,9031327
"363";1707652;"Figueirópolis";"Tocantins";"Figueirópolis, Tocantins, Brasil";-12,1347915;-49,173714
"364";1707702;"Filadélfia";"Tocantins";"Filadélfia, Tocantins, Brasil";-7,5200239;-48,8168539
"365";1708205;"Formoso do Araguaia";"Tocantins";"Formoso do Araguaia, Tocantins, Brasil";-11,8059988;-49,5257152
"366";1708254;"Fortaleza do Tabocão";"Tocantins";"Fortaleza do Tabocão, Tocantins, Brasil";-9,0561059;-48,5205629
"367";1708304;"Goianorte";"Tocantins";"Goianorte, Tocantins, Brasil";-8,7720091;-48,9340878
